# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.9889926	-3.103487e-07	0	0.053999998	0	0
0	0.9889	-3.712048e-07	0	0.053	0	0
0	0.9888066	-4.4185435e-07	0	0.051999994	0	0
0	0.9887123	-5.264592e-07	0	0.051	0	0
0	0.9886173	-6.3187326e-07	0	0.050000004	0	0
0	0.9885214	-7.716735e-07	0	0.049	0	0
0	0.98842454	-9.4322604e-07	0	0.048000004	0	0
0	0.9883268	-1.1560769e-06	0	0.046999995	0	0
0	0.9882282	-1.4394755e-06	0	0.046	0	0
0	0.9881287	-1.8089922e-06	0	0.045	0	0
0	0.9880282	-2.3071916e-06	0	0.044	0	0
0	0.98792696	-2.9355433e-06	0	0.043000005	0	0
0	0.98782474	-3.7810532e-06	0	0.042	0	0
0	0.97997886	0.04705658	0	0.041000005	0	0
0	0.97958577	0.04788716	0	0.039999995	0	0
0	0.97918856	0.04871084	0	0.039	0	0
0	0.97878814	0.04952555	0	0.038	0	0
0	0.9783837	0.050333574	0	0.037	0	0
0	0.97797596	0.051134095	0	0.036	0	0
0	0.97756386	0.051929273	0	0.035	0	0
0	0.97714823	0.05271812	0	0.034000006	0	0
0	0.976728	0.05350284	0	0.032999996	0	0
0	0.97630394	0.05428224	0	0.032	0	0
0	0.97587526	0.05505782	0	0.031000001	0	0
0	0.97544235	0.05582966	0	0.03	0	0
0	0.9750045	0.05659882	0	0.029	0	0
0	0.97456235	0.057364378	0	0.027999999	0	0
0	0.9741151	0.05812812	0	0.026999999	0	0
0	0.973663	0.058889583	0	0.025999997	0	0
0	0.97320557	0.0596495	0	0.025000002	0	0
0	0.9727431	0.06040786	0	0.024000002	0	0
0	0.972275	0.061166152	0	0.023	0	0
0	0.9718019	0.06192165	0	0.022	0	0
0	0.9713228	0.062677994	0	0.021	0	0
0	0.9708377	0.063434325	0	0.019999998	0	0
0	0.97034675	0.06419049	0	0.019	0	0
0	0.9698496	0.06494744	0	0.018	0	0
0	0.96934646	0.06570454	0	0.017000003	0	0
0	0.9688365	0.06646321	0	0.016	0	0
0	0.96831995	0.067222975	0	0.015	0	0
0	0.9677965	0.0679842	0	0.0139999995	0	0
0	0.96726644	0.068746954	0	0.012999998	0	0
0	0.9667288	0.06951216	0	0.012000001	0	0
0	0.9661839	0.07027924	0	0.011	0	0
0	0.9656315	0.07104912	0	0.009999999	0	0
0	0.96507096	0.07182205	0	0.009	0	0
0	0.9645028	0.0725973	0	0.008	0	0
0	0.96392626	0.07337605	0	0.0069999998	0	0
0	0.96334136	0.07415841	0	0.0060000005	0	0
0	0.96274763	0.07494436	0	0.0049999994	0	0
0	0.9621448	0.075734735	0	0.004	0	0
0	0.961533	0.07652913	0	0.0030000003	0	0
0	0.96091133	0.07732858	0	0.002	0	0
0	0.96028054	0.07813166	0	0.001	0	0
0	0.9596394	0.07894043	0	-7.632783e-17	0	0
0	0.9589881	0.07975443	0	-0.001	0	0
0	0.9583261	0.080573626	0	-0.002	0	0
0	0.9576531	0.08139921	0	-0.0030000003	0	0
0	0.95696896	0.08223055	0	-0.004	0	0
0	0.9562731	0.08306848	0	-0.0049999994	0	0
0	0.9555653	0.08391304	0	-0.0060000005	0	0
0	0.9548452	0.08476439	0	-0.0069999998	0	0
0	0.9541123	0.08562328	0	-0.008	0	0
0	0.95336634	0.0864895	0	-0.009	0	0
0	0.9526068	0.08736387	0	-0.009999999	0	0
0	0.95183355	0.08824599	0	-0.011	0	0
0	0.95104563	0.08913704	0	-0.012000001	0	0
0	0.9502429	0.09003674	0	-0.012999998	0	0
0	0.9494248	0.09094575	0	-0.0139999995	0	0
0	0.94859064	0.09186456	0	-0.015	0	0
0	0.9477401	0.09279324	0	-0.016	0	0
0	0.94687253	0.093732245	0	-0.017000003	0	0
0	0.9459873	0.09468232	0	-0.018	0	0
0	0.94508386	0.09564322	0	-0.019	0	0
0	0.9441614	0.09661636	0	-0.019999998	0	0
0	0.9432196	0.097601034	0	-0.021	0	0
0	0.9422566	0.09859969	0	-0.022	0	0
0	0.9412738	0.09960942	0	-0.023	0	0
0	0.9402685	0.10063413	0	-0.024000002	0	0
0	0.93924034	0.10167337	0	-0.025000002	0	0
0	0.9381886	0.10272634	0	-0.025999997	0	0
0	0.93711245	0.103795044	0	-0.026999999	0	0
0	0.9360105	0.104880214	0	-0.027999999	0	0
0	0.9348818	0.10598224	0	-0.029	0	0
0	0.9337253	0.10710179	0	-0.03	0	0
0	0.9325401	0.10823922	0	-0.031000001	0	0
0	0.9313241	0.10939633	0	-0.032	0	0
0	0.9300772	0.11057257	0	-0.032999996	0	0
0	0.92879695	0.111770034	0	-0.034000006	0	0
0	0.92748207	0.112989455	0	-0.035	0	0
0	0.926131	0.1142316	0	-0.036	0	0
0	0.9247426	0.115496814	0	-0.037	0	0
0	0.92331374	0.11678803	0	-0.038	0	0
0	0.9218433	0.11810536	0	-0.039	0	0
0	0.92032903	0.1194501	0	-0.039999995	0	0
0	0.91876835	0.12082416	0	-0.041000005	0	0
0	0.91715914	0.12222861	0	-0.042	0	0
0	0.9154985	0.12366534	0	-0.043000005	0	0
0	0.9137832	0.1251365	0	-0.044	0	0
0	0.9120112	0.12664278	0	-0.045	0	0
0	0.9101777	0.12818791	0	-0.046	0	0
0	0.90828013	0.12977277	0	-0.046999995	0	0
0	0.90631306	0.13140127	0	-0.048000004	0	0
0	0.90427345	0.13307497	0	-0.049	0	0
0	0.90215576	0.13479717	0	-0.050000004	0	0
0	0.89995456	0.13657138	0	-0.051	0	0
0	0.89766407	0.13840087	0	-0.051999994	0	0
0	0.8952769	0.14029074	0	-0.053	0	0
0	0.89278686	0.142244	0	-0.053999998	0	0
0	0.8901844	0.14426735	0	-0.055000003	0	0
0	0.88746166	0.14636445	0	-0.055999998	0	0
0	0.88460666	0.14854373	0	-0.057000004	0	0
0	0.88160884	0.15081054	0	-0.058	0	0
0	0.8784529	0.15317479	0	-0.059000008	0	0
0	0.8751258	0.15564385	0	-0.06	0	0
0	0.8716064	0.15823133	0	-0.060999997	0	0
0	0.86787343	0.16095215	0	-0.062000003	0	0
0	0.8639052	0.16381153	0	-0.063	0	0
0	0.85966885	0.16683668	0	-0.064	0	0
0	0.85512817	0.17004696	0	-0.065	0	0
0	0.8502388	0.17346911	0	-0.06599999	0	0
0	0.844945	0.17713621	0	-0.067	0	0
0	0.83917457	0.18109131	0	-0.06800001	0	0
0	0.8328382	0.18538602	0	-0.069	0	0
0	0.8258099	0.19009465	0	-0.07	0	0
0	0.8179124	0.19532163	0	-0.071	0	0
0	0.8088964	0.20120828	0	-0.072	0	0
0	0.79835266	0.20798966	0	-0.07300001	0	0
0	0.78557783	0.21605825	0	-0.074	0	0
0	0.7690589	0.22624396	0	-0.074999996	0	0
0	0.7437196	0.24118684	0	-0.076	0	0
0	-0.99090415	2.9181938e-05	0	-0.077	0	0
0	-0.9909786	2.3458117e-05	0	-0.078	0	0
0	-0.9910523	1.9502593e-05	0	-0.079	0	0
0	-0.9911254	1.7186765e-05	0	-0.07999999	0	0
0	-0.9911978	1.3659257e-05	0	-0.081	0	0
0	-0.99126947	1.1825876e-05	0	-0.08200001	0	0
0	-0.99134064	1.0087519e-05	0	-0.083	0	0
0	-0.991411	8.60764e-06	0	-0.084	0	0
0	-0.99148077	7.230723e-06	0	-0.08499999	0	0
0	-0.9915499	6.1024402e-06	0	-0.08600001	0	0
0	-0.9916186	5.019683e-06	0	-0.087000005	0	0
0	-0.9916864	4.2144748e-06	0	-0.088	0	0
0	-0.9917537	3.4322074e-06	0	-0.088999994	0	0
0	-0.9918204	2.7684655e-06	0	-0.09	0	0
0	-0.99188656	2.236884e-06	0	-0.091000006	0	0
0	-0.99195194	1.7638886e-06	0	-0.092	0	0
0	-0.99201685	1.3946265e-06	0	-0.093	0	0
0	-0.99208117	1.0879812e-06	0	-0.09399999	0	0
0	-0.9921448	8.476927e-07	0	-0.095	0	0
0	-0.99220794	6.561677e-07	0	-0.09600001	0	0
0	-0.9922705	5.222755e-07	0	-0.097	0	0
0	-0.99233246	3.9334554e-07	0	-0.098	0	0
0	-0.9923939	2.984816e-07	0	-0.09899999	0	0
0	-0.99245477	2.2151653e-07	0	-0.10000001	0	0
0	-0.992394	1.6500417e-07	0	-0.09899999	0	0
0	-0.99233264	1.3265526e-07	0	-0.098	0	0
0	-0.99227065	1.04475475e-07	0	-0.097	0	0
0	-0.9922081	8.629286e-08	0	-0.09600001	0	0
0	-0.99214494	7.111521e-08	0	-0.095	0	0
0	-0.9920812	5.579932e-08	0	-0.09399999	0	0
0	-0.992017	4.89963e-08	0	-0.093	0	0
0	-0.9919521	4.5642082e-08	0	-0.092	0	0
0	-0.99188656	3.9792212e-08	0	-0.091000006	0	0
0	-0.9918205	3.6889105e-08	0	-0.09	0	0
0	-0.9917539	3.5164703e-08	0	-0.088999994	0	0
0	-0.9916865	2.9271177e-08	0	-0.088	0	0
0	-0.9916187	2.8783688e-08	0	-0.087000005	0	0
0	-0.9915501	3.02025e-08	0	-0.08600001	0	0
0	-0.991481	2.9991497e-08	0	-0.08499999	0	0
0	-0.99141115	2.6571797e-08	0	-0.084	0	0
0	-0.99134076	2.7961505e-08	0	-0.083	0	0
0	-0.9912696	2.8747309e-08	0	-0.08200001	0	0
0	-0.9911979	2.8434442e-08	0	-0.081	0	0
0	-0.99112546	3.252353e-08	0	-0.07999999	0	0
0	-0.9910524	3.151945e-08	0	-0.079	0	0
0	-0.9909788	3.243622e-08	0	-0.078	0	0
0	-0.9909043	3.3825927e-08	0	-0.077	0	0
0	-0.9908292	3.2261596e-08	0	-0.076	0	0
0	-0.9907534	3.540481e-08	0	-0.074999996	0	0
0	-0.990677	3.835885e-08	0	-0.074	0	0
0	-0.9905999	3.9515726e-08	0	-0.07300001	0	0
0	-0.99052197	4.5496563e-08	0	-0.072	0	0
0	-0.99044335	4.8748916e-08	0	-0.071	0	0
0	-0.9903641	5.5064447e-08	0	-0.07	0	0
0	-0.9902841	5.625043e-08	0	-0.069	0	0
0	-0.9902034	6.1547325e-08	0	-0.06800001	0	0
0	-0.99012184	6.835762e-08	0	-0.067	0	0
0	-0.99003965	7.265044e-08	0	-0.06599999	0	0
0	-0.98995674	8.08941e-08	0	-0.065	0	0
0	-0.98987293	8.562347e-08	0	-0.064	0	0
0	-0.9897885	9.829819e-08	0	-0.063	0	0
0	-0.98970324	1.10092515e-07	0	-0.062000003	0	0
0	-0.98961717	1.1656084e-07	0	-0.060999997	0	0
0	-0.9895303	1.3857789e-07	0	-0.06	0	0
0	-0.98944277	1.5290425e-07	0	-0.059000008	0	0
0	-0.9893543	1.774606e-07	0	-0.058	0	0
0	-0.9892651	1.9816798e-07	0	-0.057000004	0	0
0	-0.989175	2.2930908e-07	0	-0.055999998	0	0
0	-0.98908406	2.7038914e-07	0	-0.055000003	0	0
0	-0.98899245	3.157329e-07	0	-0.053999998	0	0
0	-0.98889995	3.7671998e-07	0	-0.053	0	0
0	-0.9888066	4.5033812e-07	0	-0.051999994	0	0
0	-0.9887123	5.367183e-07	0	-0.051	0	0
0	-0.98861724	6.5281347e-07	0	-0.050000004	0	0
0	-0.9885214	7.881026e-07	0	-0.049	0	0
0	-0.9884246	9.591313e-07	0	-0.048000004	0	0
