# t (s)	mx ()	my ()	mz ()	B_app (T)	m.region2x ()	m.region2y ()	m.region2z ()
0	-0.37907723	-0.0021418424	0	-0.022	-0.9999795	-0.006415394	0
0	-0.37907764	-0.0020820773	0	-0.021	-0.9999805	-0.006236397	0
0	-0.37907806	-0.0020201541	0	-0.02	-0.9999818	-0.0060509853	0
0	-0.3790785	-0.0019562852	0	-0.019	-0.99998283	-0.005859736	0
0	-0.3790789	-0.001890272	0	-0.018	-0.9999839	-0.0056618755	0
0	-0.37907934	-0.0018218787	0	-0.017	-0.99998516	-0.005457053	0
0	-0.3790798	-0.0017511024	0	-0.016	-0.99998623	-0.005245141	0
0	-0.37908018	-0.0016776648	0	-0.015	-0.9999875	-0.0050251265	0
0	-0.37908065	-0.0016015238	0	-0.014	-0.99998856	-0.004797121	0
0	-0.37908104	-0.0015227495	0	-0.013	-0.99998957	-0.004561096	0
0	-0.37908146	-0.0014411908	0	-0.012	-0.9999908	-0.004316718	0
0	-0.37908185	-0.0013558319	0	-0.011	-0.99999183	-0.004061237	0
0	-0.37908223	-0.0012674526	0	-0.01	-0.9999928	-0.0037963972	0
0	-0.37908265	-0.0011755041	0	-0.009	-0.9999938	-0.0035210287	0
0	-0.379083	-0.001079799	0	-0.008	-0.9999948	-0.0032343308	0
0	-0.37908337	-0.0009798903	0	-0.007	-0.9999957	-0.0029350815	0
0	-0.37908366	-0.0008758481	0	-0.006	-0.99999666	-0.0026234912	0
0	-0.379084	-0.00076746434	0	-0.005	-0.99999726	-0.0022987572	0
0	-0.37908423	-0.0006540607	0	-0.004	-0.9999981	-0.0019592019	0
0	-0.37908456	-0.0005355095	0	-0.003	-0.9999989	-0.0016040251	0
0	-0.3790847	-0.00041113654	0	-0.002	-0.99999917	-0.0012315619	0
0	-0.37908486	-0.00028110694	0	-0.001	-0.9999996	-0.00084200955	0
0	-0.37908491	-0.00014397771	0	0	-0.99999994	-0.0004312775	0
0	-0.37908494	-4.074592e-07	0	0.001	-1	-1.2223776e-06	0
0	-0.37908494	0.00015010158	0	0.002	-1	0.0004496491	0
0	-0.37908486	0.0003092717	0	0.003	-0.9999996	0.00092626543	0
0	-0.3790846	0.00047738626	0	0.004	-0.99999905	0.0014299534	0
0	-0.37908426	0.0006539734	0	0.005	-0.9999981	0.0019588207	0
0	-0.37908378	0.00084199297	0	0.006	-0.999997	0.002522045	0
0	-0.37908316	0.0010405647	0	0.007	-0.9999952	0.0031168065	0
0	-0.37908232	0.0012511126	0	0.008	-0.99999297	0.0037474965	0
0	-0.37908128	0.0014750748	0	0.009	-0.99999034	0.00441837	0
0	-0.37908003	0.0017137019	0	0.01	-0.99998677	0.0051331185	0
0	-0.37907842	0.0019687798	0	0.011	-0.9999827	0.0058971005	0
0	-0.37907648	0.0022416299	0	0.012	-0.9999775	0.006714399	0
0	-0.3790741	0.00253399	0	0.013	-0.99997133	0.0075901086	0
0	-0.37907124	0.0028480159	0	0.014	-0.9999637	0.0085307555	0
0	-0.37906775	0.0031879616	0	0.015	-0.99995434	0.009548924	0
0	-0.3790636	0.0035540315	0	0.016	-0.9999434	0.010645465	0
0	-0.3790585	0.0039516906	0	0.017	-0.99992996	0.011836535	0
0	-0.37905243	0.0043819915	0	0.018	-0.99991405	0.013125292	0
0	-0.37904504	0.00485393	0	0.019	-0.99989426	0.014538901	0
0	-0.37903595	0.005377738	0	0.02	-0.9998703	0.016108	0
0	-0.379025	0.0059469077	0	0.021	-0.99984133	0.017812708	0
0	-0.3790115	0.006582175	0	0.022	-0.99980557	0.01971571	0
0	-0.37899494	0.0072863162	0	0.023	-0.9997617	0.021824736	0
0	-0.37897423	0.008080508	0	0.024	-0.9997071	0.024203673	0
0	-0.37894842	0.008973016	0	0.025	-0.9996387	0.02687697	0
0	-0.37891594	0.009983166	0	0.026	-0.99955285	0.029902589	0
0	-0.37887385	0.011154541	0	0.027	-0.9994417	0.03341141	0
0	-0.3788196	0.012506034	0	0.028	-0.99929816	0.03745951	0
0	-0.37874794	0.014094046	0	0.029	-0.99910843	0.042216036	0
0	-0.37865114	0.01598982	0	0.03	-0.9988526	0.047894593	0
0	-0.37851664	0.01829969	0	0.031	-0.9984966	0.05481348	0
0	-0.37832567	0.021149209	0	0.032	-0.9979915	0.0633488	0
0	-0.37804052	0.024799727	0	0.033	-0.9972372	0.07428343	0
0	-0.37758783	0.02968219	0	0.034	-0.9960398	0.088908285	0
0	-0.37680018	0.036648598	0	0.035	-0.99395645	0.109775856	0
0	-0.37519658	0.047758117	0	0.036	-0.98971474	0.14305471	0
0	-0.3694671	0.07481853	0	0.037	-0.9745612	0.22412167	0
0	-0.3681164	0.07982779	0	0.038	-0.97098744	0.2391299	0
0	-0.3648214	0.09082914	0	0.039	-0.96227115	0.27209237	0
0	0.3790708	0.002892186	0	0.04	0.9999627	0.008662968	0
0	0.3790704	0.0029288924	0	0.041	0.99996144	0.008773028	0
0	0.37907	0.0029649644	0	0.042	0.9999605	0.008880946	0
0	0.3790697	0.0030000408	0	0.043	0.9999598	0.008986056	0
0	0.37906936	0.0030342343	0	0.044	0.99995863	0.009088458	0
0	0.379069	0.0030675652	0	0.045	0.9999579	0.009188331	0
0	0.3790687	0.0031002264	0	0.046	0.999957	0.009286135	0
0	0.37906837	0.0031322602	0	0.047	0.9999561	0.009381998	0
0	0.37906802	0.0031632485	0	0.048	0.9999551	0.009474904	0
0	0.3790677	0.0031936972	0	0.049	0.9999543	0.009566071	0
0	0.3790674	0.0032233319	0	0.05	0.9999533	0.009654916	0
0	0.37906706	0.0032524297	0	0.051	0.99995244	0.00974203	0
0	0.37906674	0.0032809677	0	0.052	0.9999518	0.009827466	0
0	0.37906644	0.0033085358	0	0.053	0.99995095	0.00991017	0
